PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=1.37 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=0.921 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=0.370 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=0.162 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=1.95 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=1.26 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=0.167 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=0.127 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=1.81 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.133 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=1.53 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.096 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.135 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.933 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=1.53 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=22.6 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=3.05 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=2.60 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=1.20 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.137 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.164 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.120 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.089 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.147 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=2.03 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.227 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.185 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=2.68 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=1.46 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.899 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=1.67 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.989 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.346 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=9.43 ms
