PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.285 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=0.457 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=0.181 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=0.444 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=0.294 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=0.155 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=0.433 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=0.445 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=0.428 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.404 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=0.421 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.401 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.520 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.354 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=9.92 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.163 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.482 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.555 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.431 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.155 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.434 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.424 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=0.171 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.435 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=0.360 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=0.134 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.429 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.524 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.358 ms
